direccion_completa,Gasolina 95,Gasolina 98,Diésel,Diésel premium,rotulo,horario,ultimo_dato
"Carretera Carretera N-630 Km. 678,5, 06230 Santos De Maimona (Los) (Badajoz)",,,1.959,,CARBURANTES LA ESTRELLA,L-D: 07:00-22:00,2022-07-18 09:58:00
"Carretera Carretera N-Ii Km. 651,400, 08392 Sant Andreu De Llavaneres (Barcelona)",1.959,,1.879,,OILPRIX,L-D: 24H,2022-07-19 12:13:00
"Carretera Carretera N-Iv Km. 507, 41410 Carmona (Sevilla)",1.979,,1.879,,"SEDIGAS, S.L.",L-D: 06:00-22:00,2022-07-18 15:01:00
"Carretera Carretera N Iii Km. 322,2, 46370 Chiva (Valencia / València)",,2.159,1.989,2.079,GALP,L-D: 24H,2022-07-20 02:14:00
"Carretera Carretera Nacinal Km. 249, 32100 Coles (Ourense)",2.189,2.479,1.999,,REPSOL,L-V: 07:30-22:00; S-D: 07:30-15:00,2022-07-18 10:14:00
"Carretera Carretera Nacional 332 Km. 3,37, 30880 Águilas (Murcia)",1.953,2.085,1.968,2.063,ANIBAL,L: 07:00-22:00,2022-07-19 13:18:00
"Carretera Carretera Nacional 340 Km. 554,1, 04600 Huércal-Overa (Almería)",1.969,2.079,1.949,1.999,REPSOL,L: 07:00-23:00,2022-07-19 09:53:00
"Carretera Carretera Nacional 432 Km. 396, 23686 Alcalá La Real (Jaén)",2.079,,1.969,2.079,REPSOL,L-D: 07:00-23:00,2022-07-18 13:47:00
"Carretera Carretera Nacional 525 Km. 234,3, 32911 San Cibrao Das Viñas (Ourense)",1.979,2.089,1.979,2.029,REPSOL,L: 06:00-23:00,2022-07-20 00:00:00
"Carretera Carretera Nacional Ii Km. 651,4, 08392 Sant Andreu De Llavaneres (Barcelona)",1.979,2.179,1.939,2.009,MEROIL,L-D: 06:00-22:00,2022-07-19 12:11:00
"Carretera Carretera Pamplona Km. 37,5, 31177 Valle De Yerri/Deierri (Navarra)",,,1.969,,AN ENERGETICOS,L-D: 24H,2022-07-18 10:25:00
"Carretera Carretera Provincial Nº 16 Km. 1,7, 14230 Villanueva Del Rey (Córdoba)",2.109,,2.049,,MEROIL,L-D: 07:00-22:00,2022-07-18 07:49:00
"Carretera Carretera Sant Hilari Arbúcies Km 16.300 Km. 16,300, 17401 Arbúcies (Girona)",1.989,2.099,1.999,2.049,REPSOL,L-D: 06:00-22:00,2022-07-20 00:00:00
"Carretera Carretera Toledo Km. 80,250, 45112 Burguillos De Toledo (Toledo)",1.959,2.019,1.899,1.959,NAVAMUEL,L-D: 06:30-22:30,2022-07-19 18:09:00
"Carretera Carretera Torrijo Km. 0,5, 44393 Torrijo Del Campo (Teruel)",,,,,CEREALES TERUEL,L-D: 24H,2022-07-19 15:30:00
"Carretera Carretera Tudela Km. N8, 31514 Valtierra (Navarra)",1.969,,1.899,,ENERGETICOS VALTIERRA,L-D: 24H,2022-07-19 11:10:00
"Carretera Carretera Vicalvaro-Rivas Km. 3,600, 28052 Madrid (Madrid)",1.979,,1.919,1.979,DST,L-D: 06:00-22:00,2022-07-19 11:29:00
"Carretera Carrion A Fernancaballero Km 0.5, 13150 Carrión De Calatrava (Ciudad Real)",,,1.929,,"MONTES NORTE ENERGETICOS, S.L.",L-D: 24H,2022-07-18 18:16:00
"Carretera Cartagena-Alhama Km. 11,3, 30390 Cartagena (Murcia)",1.999,2.199,1.959,2.019,REPSOL,L-D: 24H,2022-07-18 14:17:00
"Carretera Cartagena-Alhama Km. 29, 30320 Fuente Álamo De Murcia (Murcia)",2.029,2.199,1.979,2.089,CEPSA,L-D: 06:00-00:00,2022-07-19 07:06:00
"Carretera Cartagena-Alicante Km. 23, 30710 Los Alcázares (Murcia)",2.039,2.209,1.969,2.029,REPSOL,L-D: 06:30-23:00,2022-07-19 11:04:00
"Carretera Cartagena Km. 1,6, 30840 Alhama De Murcia (Murcia)",1.969,,1.919,,JUAN MARTINEZ SAURA,L-S: 06:00-23:00; D: 07:00-23:00,2022-07-19 00:20:00
"Carretera Cartama-Churriana Km. 4,750, 29130 Alhaurín De La Torre (Málaga)",2.019,,1.999,,ADISADI SANTA AMALIA,L-D: 06:30-22:30,2022-07-18 12:36:00
"Carretera Cartama-Coin Km. 3,8, 29570 Cártama (Málaga)",2.059,2.209,2.009,2.089,CEPSA,L-D: 24H,2022-07-18 00:00:00
"Carretera Cartama Km. 1 Km., 29120 Alhaurín El Grande (Málaga)",1.989,2.099,1.989,2.039,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Carretera Cartama Pueblo A Estacion Km. 2,7, 29570 Cártama (Málaga)",2.036,2.229,1.971,2.135,E.S EL VALLE (AGLA),L-D: 06:00-23:00,2022-07-18 12:16:00
"Carretera Cartelos S/Nº Km. 1,200, 27528 Carballedo (Lugo)",,,,,AIRA,L-V: 09:30-14:00 y 16:00-19:00; S: 10:00-14:00,2022-07-18 10:17:00
"Carretera Casalareina Km. 111, 26200 Haro (Rioja (La))",2.059,,1.969,2.059,ALCAMPO,L-D: 24H,2022-07-18 10:12:00
"Carretera Castalla Alicante, Cv 815 Km. 5,7, 03420 Castalla (Alicante)",2.009,2.249,1.979,2.039,REPSOL,L-D: 06:00-22:00,2022-07-20 00:00:00
"Carretera Castellar-Aldeahermosa Km. 0,5, 23267 Montizón (Jaén)",2.049,,2.029,,ESTACIÓN DE SERVICIO ACEITES ALDEAHERMOSA,L-D: 24H,2022-07-18 10:03:00
"Carretera Castellar Km. 200, 08226 Terrassa (Barcelona)",1.959,,1.889,,PETRO VALLES,L-D: 24H,2022-07-19 21:31:00
"Carretera Castellar Km. S/N, 08224 Terrassa (Barcelona)",1.999,2.139,1.969,2.009,SUPECO,L-D: 24H,2022-07-19 15:17:00
"Carretera Castellar Km. S/N, 13344 Torre De Juan Abad (Ciudad Real)",,,,,CENTRO DE LA VEGA,L-D: 24H,2022-07-18 15:13:00
"Carretera Castello Km. 1, 17470 Sant Pere Pescador (Girona)",1.989,,1.969,,ESCLATOIL,L-D: 24H,2022-07-18 12:00:00
"Carretera Castellon Km 164, 44530 Híjar (Teruel)",1.909,,1.874,,SANBRAULIO,L-D: 24H,2022-07-18 10:11:00
"Carretera Castellon Km. 197, 50770 Quinto (Zaragoza)",1.899,,1.899,,SOCIEDAD COOPERATIVA AGRARIA SANTA ANA,L-D: 24H,2022-07-19 13:13:00
"Carretera Castilla Km. 6,30, 15570 Narón (Coruña (A))",2.069,2.219,2.019,2.089,E.S. SANTA RITA,L-D: 07:00-23:00,2022-07-18 06:59:00
"Carretera Castilla Km. 624, 15320 Narón (Coruña (A))",1.969,2.111,1.978,2.069,BP NARON,L-D: 07:00-23:00,2022-07-19 00:00:00
"Carretera Castilla, 318 Km. 1, 15404 Ferrol (Coruña (A))",1.981,2.134,1.999,2.075,CEPSA,L-D: 24H,2022-07-19 11:55:00
"Carretera Castillo Sietevillas Km. S/N, 39195 Arnuero (Cantabria)",2.039,2.189,1.999,2.089,E.S. CARBURANTES DE ARNUERO S.L.,L-D: 07:00-22:30,2022-07-19 12:54:00
"Carretera Catabois Km. 3,900, 15405 Ferrol (Coruña (A))",1.929,2.069,1.989,2.059,GALP,L-D: 07:00-23:00,2022-07-20 02:13:00
"Carretera Catabois Km. 646, 15405 Ferrol (Coruña (A))",1.959,2.109,2.019,2.109,REPSOL,L-D: 07:00-23:00,2022-07-20 00:00:00
"Carretera Catadau-Benifaio Km. 5,8, 46197 Alfarp (Valencia / València)",2.059,,1.949,1.989,BAR / E.S. ALTAMAR J.A.,L-V: 06:00-21:00; S-D: 07:00-21:00,2022-07-18 08:57:00
"Carretera Catral- Callosa Del Segura Km. 5,3, 03158 Catral (Alicante)",1.949,,1.899,,GASEXPRESS,L-D: 24H,2022-07-19 16:22:00
"Carretera Catral-Albatera Km. 4,2, 03340 Albatera (Alicante)",1.989,2.139,1.989,2.079,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Carretera Catral Km. 0,300, 03360 Callosa De Segura (Alicante)",2.019,2.191,1.969,2.069,"BP OIL ESPAÑA, S.A.U.",L-V: 06:00-22:00; S-D: 07:00-22:00,2022-07-19 06:00:00
"Carretera Cazalla P.k 25,200 Km. 25,200, 41390 Guadalcanal (Sevilla)",2.059,2.219,1.999,2.059,REPSOL,L-S: 06:30-20:00,2022-07-18 10:23:00
"Carretera Cc-3322 Km. 19,65, 46600 Alzira (Valencia / València)",2.049,2.119,1.999,2.049,REPSOL,L-D: 06:00-22:00,2022-07-19 15:19:00
"Carretera Cc - 3320 Km. 22,4, 46600 Alzira (Valencia / València)",2.049,,1.999,2.049,PETRONOR,L-S: 06:00-22:00; D: 06:00-14:00,2022-07-19 15:21:00
"Carretera Cc 054 Km. 2,300, 10300 Navalmoral De La Mata (Cáceres)",2.009,2.249,2.009,2.079,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Carretera Ccl Km. 1, 10650 Ahigal (Cáceres)",1.979,,1.999,2.089,CAMPSA,L: 07:00-22:00,2022-07-20 00:00:00
"Carretera Central Térmica Km. 2, 11379 Los Barrios (Cádiz)",1.857,,1.877,,PLENOIL,L-D: 24H,2022-07-19 12:00:00
"Carretera Cerdanyola Km. 108, 08190 Sant Cugat Del Vallès (Barcelona)",2.059,2.201,1.999,2.089,BP CAN SOLA,L-D: 24H,2022-07-20 00:00:00
"Carretera Cevico-Hermedes, 1 Km. 1, 34218 Cevico De La Torre (Palencia)",2.119,,1.979,,REPSOL,L-D: 24H,2022-07-19 09:30:00
"Carretera Chipiona (De) Km. 0,5, 11540 Sanlúcar De Barrameda (Cádiz)",1.949,,1.899,,PETROL & GO,L-D: 24H,2022-07-18 09:44:00
"Carretera Circunvalaciòn Km. 0,370, 35500 Arrecife (Palmas (Las))",1.639,1.718,1.617,1.719,DISA CIRCUNVALACION II,L-D: 07:00-23:00,2022-07-19 16:35:00
"Carretera Circunvalacion Km. 639,8, 11408 Jerez De La Frontera (Cádiz)",1.929,2.099,1.889,1.999,SHELL,L-D: 24H,2022-07-19 22:00:00
"Carretera Circunvalacion Km. S/N, 10190 Casar De Cáceres (Cáceres)",1.949,,1.899,,COOPRADO,L-D: 24H,2022-07-18 09:38:00
"Carretera Circunvalacion Km. S/N, 23500 Jódar (Jaén)",1.998,,1.978,2.068,REPSOL,L-D: 06:00-10:00,2022-07-19 14:00:00
"Carretera Circunvalacion S/N Km. 1, 14400 Pozoblanco (Córdoba)",,,1.859,,COOPERATIVA OLIVARERA LOS PEDROCHES,L-D: 07:00-23:00,2022-07-18 11:52:00
"Carretera Circunvalación Sn Km. S/N, 06389 Jerez De Los Caballeros (Badajoz)",,,1.98,,SIERRA DE JEREZ SOCIEDAD COOPERATIVA,L-D: 24H,2022-07-18 13:35:00
"Carretera Circunvalación, S/N Km. 10, 06717 Villar De Rena (Badajoz)",,,1.97,,LA ENCINA DE PALAZUELO S. COOP.,L-D: 24H,2022-07-18 11:26:00
"Carretera Circunvalacion, S/N Km. 18,1, 34300 Paredes De Nava (Palencia)",1.959,2.069,1.939,1.989,REPSOL,L-V: 07:00-20:00; S: 08:00-15:00,2022-07-20 00:00:00
"Carretera Ciudad Real Km. S/N, 13380 Aldea Del Rey (Ciudad Real)",,,1.95,,COOPERATIVA AGRICOLA SAN JORGE MARTIR,L-V: 08:30-14:00 y 16:00-18:30; S: 09:00-14:00,2022-07-18 10:22:00
"Carretera Ciudad Rodrigo Km. 19, 10830 Torrejoncillo (Cáceres)",1.949,2.009,1.979,2.045,CEPSA,L-D: 07:00-22:00,2022-07-20 01:38:00
"Carretera Cl-517 Km. 22,500, 37130 Villarmayor (Salamanca)",2.064,2.184,1.968,2.048,"EUMOGAS, SL",L-V: 07:00-20:30; S: 08:00-20:30; D: 09:00-21:00,2022-07-18 14:59:00
"Carretera Cl-517 Salamanca-Vitigudino Km. 1,1, 37009 Salamanca (Salamanca)",1.899,,1.799,,LOW COST CARBURANTES,L-D: 24H,2022-07-18 13:00:00
"Carretera Cl-601 Km. 100,800, 40390 Valseca (Segovia)",2.019,2.129,1.969,2.019,REPSOL,L-D: 07:00-23:00,2022-07-18 11:52:00
"Carretera Cl-601 Km. 35,5, 47164 San Miguel Del Arroyo (Valladolid)",1.989,,1.995,2.061,CEPSA,L-D: 06:00-22:00,2022-07-20 06:00:00
"Carretera Cl-601 Km. 4,8, 47012 Valladolid (Valladolid)",1.949,2.059,1.979,2.069,REPSOL,L-D: 06:00-23:00,2022-07-20 00:00:00
"Carretera Cl-601 Km. 51,1, 40200 Cuéllar (Segovia)",1.979,2.089,1.979,2.039,REPSOL,L-D: 07:00-23:00,2022-07-20 00:00:00
"Carretera Cl-605 Fuentesauco Km. 10, 49151 Casaseca De Las Chanas (Zamora)",1.979,2.199,1.899,1.959,|> ENERTRIX <|,L-D: 24H,2022-07-18 15:19:00
"Carretera Cl-605 Km. 169,87, 49021 Zamora (Zamora)",1.947,,1.883,,MORAOIL,L-D: 24H,2022-07-18 11:55:00
"Carretera Cl-610 Km. 12,400, 47152 Valladolid (Valladolid)",1.934,,1.979,,GALP,L-V: 09:00-21:00; S: 09:00-22:00; D: 06:00-22:00,2022-07-20 02:14:00
"Carretera Cl-629 Km. 35, 09141 Merindad De Río Ubierna (Burgos)",1.989,,1.899,,E.S. LAS BRUJAS - CERNEGULA,L-D: 07:00-22:00,2022-07-18 15:29:00
"Carretera Cl-631 Km. 13, 24492 Cubillos Del Sil (León)",1.969,2.099,1.989,2.039,REPSOL,L-S: 07:00-21:00,2022-07-20 00:00:00
"Carretera Cl-631 Km. 58,500, 24100 Villablino (León)",2.169,2.289,2.059,2.139,SHELL,L-D: 07:00-23:00,2022-07-18 17:00:00
"Carretera Cl-631 Km24 Km. 24, 24450 Toreno (León)",1.999,,1.989,2.055,CEPSA,L-D: 07:00-22:00,2022-07-19 23:52:00
"Carretera Cl 507 Km 3.200 Km. 3200, 05290 Blascosancho (Ávila)",1.959,,1.969,2.019,REPSOL,L-V: 07:00-19:30; S: 08:00-15:00,2022-07-20 00:00:00
"Carretera Cl 527 Km. 14,350, 49280 Pereruela (Zamora)",2.079,2.219,1.989,,REPOSTAR--ALFA,L-D: 08:00-20:00,2022-07-18 10:39:00
"Carretera Cl 602 Km. 42,800, 47500 Nava Del Rey (Valladolid)",2.049,,1.979,1.979,REPOSTAR,L-V: 07:00-20:00; S: 08:00-14:00,2022-07-19 09:43:00
"Carretera Cl 602 Olmedo- Cuellar Km. 101,640, 40213 Vallelado (Segovia)",1.999,,1.949,,LOW COST VALLELADO,L-D: 24H,2022-07-18 15:19:00
"Carretera Cl626 Km. 18,400, 34885 Santibáñez De La Peña (Palencia)",1.989,2.099,1.949,1.999,REPSOL,L: 07:00-22:00,2022-07-18 07:56:00
"Carretera Cm-101 Km. 8,2, 19290 Fontanar (Guadalajara)",1.949,2.089,1.939,2.019,SHELL,L-D: 06:00-00:00,2022-07-19 15:00:00
"Carretera Cm-200 Km. 84,500, 19118 Almonacid De Zorita (Guadalajara)",2.059,,1.999,2.059,ANAYA SL,L-S: 07:00-21:30; D: 08:00-21:30,2022-07-18 10:36:00
"Carretera Cm-2004 Km. 2,600, 19160 Chiloeches (Guadalajara)",2.019,2.139,1.999,2.059,REPSOL,L-D: 24H,2022-07-19 10:02:00
"Carretera Cm-2011 Km. 12,2, 19400 Brihuega (Guadalajara)",1.999,2.099,1.989,2.059,ALAMEDA,L-D: 07:00-22:00,2022-07-18 10:55:00
"Carretera Cm-210 Km. 24,200, 19463 Poveda De La Sierra (Guadalajara)",1.998,,2.008,,AREA DE SERVICIOS ALTO TAJO,L-D: 09:00-14:00 y 15:30-18:30,2022-07-18 11:43:00
"Carretera Cm-2100   Cuenca-Albacete Km. 32,940, 16120 Las Valeras (Cuenca)",2.069,,2.099,,MEROIL,L-S: 07:00-21:30; D: 07:00-15:00 y 16:00-21:30,2022-07-17 08:28:00
"Carretera Cm-219 Km. 17,300, 19115 Almoguera (Guadalajara)",1.979,,1.959,2.009,REPSOL,L-D: 07:00-15:00,2022-07-17 00:00:00
"Carretera Cm-310 Km. 101, 16500 Huete (Cuenca)",1.989,,1.899,,LA CHOPERA SDAD COOP DE C-LM,L-D: 24H,2022-07-18 15:01:00
"Carretera Cm-310a Km. 90, 16555 Campos Del Paraíso (Cuenca)",,,1.95,,NOALLES Y BALANZA,L-D: 24H,2022-07-19 11:24:00
"Carretera Cm-311 Km. 17,3, 16235 Iniesta (Cuenca)",1.949,2.059,1.989,2.039,REPSOL,L-D: 06:00-23:00,2022-07-20 00:00:00
"Carretera Cm-3114 Km. 0,1, 02630 La Roda (Albacete)",1.959,2.069,1.999,2.049,REPSOL,L-V: 06:00-10:00; S: 06:00-14:00,2022-07-20 00:00:00
"Carretera Cm-3114 Km. 12,7, 02636 Villalgordo Del Júcar (Albacete)",2.069,,1.979,,E.S EL GORRION,L-D: 07:30-21:30,2022-07-18 11:26:00
"Carretera Cm-3201 47,1 Km. 47,1, 02210 Alcalá Del Júcar (Albacete)",2.049,,1.999,,EL JUCAR,L: 08:00-20:00,2022-07-18 10:40:00
"Carretera Cm-400 Km. 61, 45700 Consuegra (Toledo)",1.969,,1.995,2.075,CEPSA,L-D: 06:00-22:00,2022-07-20 00:00:00
"Carretera Cm-400 Km. 63,4, 45700 Consuegra (Toledo)",1.969,,1.995,2.075,CEPSA,L-V: 07:00-21:00; S: 10:00-15:00; D: 16:00-21:00,2022-07-20 00:00:00
"Carretera Cm-4000 Km. 15,4, 45522 Albarreal De Tajo (Toledo)",1.959,,1.979,2.029,REPSOL,L-D: 07:00-22:00,2022-07-20 00:00:00
"Carretera Cm-4000 Km. 2,650, 45004 Toledo (Toledo)",1.969,2.099,1.969,1.999,REPSOL,L-S: 06:30-21:30; D: 07:00-21:30,2022-07-19 12:02:00
"Carretera Cm-4001 Km. 12,3, 45270 Mocejón (Toledo)",1.969,,1.979,,REPSOL,L-S: 07:00-21:30,2022-07-20 00:00:00
"Carretera Cm-4001 Km. 23, 45250 Añover De Tajo (Toledo)",2.029,,1.979,,CARBURANTES AÑOVER,L-V: 07:00-20:00; S: 07:00-14:00,2022-07-19 07:24:00
"Carretera Cm-4004 Km. 17,50, 45214 Cedillo Del Condado (Toledo)",1.979,2.111,1.968,2.029,CEPSA,L-D: 24H,2022-07-20 00:15:00
"Carretera Cm-4006 P.ind. Sector 12 Parcelas 38 A 41 Km. S/N, 45280 Olías Del Rey (Toledo)",1.994,2.134,1.974,2.054,SHELL,L-D: 07:00-23:00,2022-07-19 15:00:00
"Carretera Cm-401 A Km. 14,500, 45161 Polán (Toledo)",1.979,2.119,1.929,,BERMUDEZ,L-D: 07:00-22:00,2022-07-18 07:00:00
"Carretera Cm-401 Km. 9,200, 45160 Guadamur (Toledo)",1.969,2.069,1.909,1.979,AVIA,L-D: 06:00-22:00,2022-07-18 19:49:00
"Carretera Cm-4010 Km. 2, 45200 Illescas (Toledo)",1.979,2.121,1.999,2.089,BP ILLESCAS,L-D: 24H,2022-07-20 00:00:00
"Carretera Cm-4010 Km. 4,500, 45220 Yeles (Toledo)",1.989,2.109,1.979,2.029,AVIA,L-D: 06:00-22:00,2022-07-19 17:32:00
"Carretera Cm-4011 Km. 18, 45594 Villamiel De Toledo (Toledo)",1.969,2.089,1.979,2.029,REPSOL,L-V: 07:00-20:00; S-D: 09:00-16:00,2022-07-20 00:00:00
"Carretera Cm-4017 Km. 66,09, 13194 Retuerta Del Bullaque (Ciudad Real)",1.988,,1.927,,J.UTRILLA,L-D: 08:00-22:30,2022-07-18 14:17:00
"Carretera Cm-410 Km. 27, 45100 Sonseca (Toledo)",2.019,2.229,1.999,2.059,REPSOL,L-S: 07:00-22:00; D: 08:00-22:00,2022-07-20 00:53:00
"Carretera Cm-4102 Km. 4, 45600 Talavera De La Reina (Toledo)",1.969,2.069,1.939,,ZOIL J.C.M. GASOLINERAS S.L.,L-D: 06:00-22:00,2022-07-17 22:00:00
"Carretera Cm-4111 Km. 64, 13770 Viso Del Marqués (Ciudad Real)",1.949,,1.989,2.039,REPSOL,L-S: 07:00-14:00,2022-07-20 00:00:00
"Carretera Cm-412 Km. 11, 13179 Pozuelo De Calatrava (Ciudad Real)",1.999,,1.999,2.029,CEPSA,L-S: 06:00-22:00; D: 08:00-22:00,2022-07-17 13:56:00
"Carretera Cm-412 Km. 199,5, 02450 Riópar (Albacete)",2.019,,1.999,2.069,CEPSA,L-D: 08:00-20:00,2022-07-18 10:31:00
"Carretera Cm-412 Km. 69,92, 13350 Moral De Calatrava (Ciudad Real)",1.939,2.049,1.979,2.029,REPSOL,L-D: 06:00-22:00,2022-07-20 00:00:00
"Carretera Cm-4127 Km. 2,350, 13170 Miguelturra (Ciudad Real)",1.981,2.091,2.029,2.087,CEPSA,L-D: 06:00-00:00,2022-07-19 10:26:00
"Carretera Cm-5004 Km. 6, 45920 La Torre De Esteban Hambrán (Toledo)",2.089,,2.059,2.149,LA TORRE,L-S: 07:00-21:00; D: 07:30-21:00,2022-07-18 16:34:00
"Carretera Cm-610 Km. 6,700, 45930 Méntrida (Toledo)",2.059,2.279,2.049,2.159,REPSOL,L-D: 24H,2022-07-18 13:08:00
"Carretera Cm 3127 Km 12.600, 13326 Montiel (Ciudad Real)",2.059,,1.949,,EE.SS VALLE PIQUERAS,L-D: 06:30-22:00,2022-07-19 12:51:00
"Carretera Cm 4001 Km. 16,200, 45260 Villaseca De La Sagra (Toledo)",2.049,,1.999,2.059,LA ERMITA S.L.,L-V: 07:30-21:00,2022-07-19 10:05:00
"Carretera Cm 401 Km. 28,300, 45164 Gálvez (Toledo)",1.999,2.009,1.929,,BERMUDEZ,L-D: 07:00-22:30,2022-07-17 13:21:00
"Carretera Cm 4051 Poligono 5 Parcela 122 Km. 15, 45750 Huerta De Valdecarábanos (Toledo)",2.069,,1.949,,COMBUSTIBLES HUERTA,L-D: 24H,2022-07-18 09:29:00
"Carretera Cm 4110 Km. 6, 13580 Almodóvar Del Campo (Ciudad Real)",1.929,2.059,2.019,2.069,REPSOL,L-D: 07:00-23:00,2022-07-20 00:00:00
"Carretera Cm 412 Km. 92, 13300 Valdepeñas (Ciudad Real)",2.179,,2.069,,MELLADO,L-D: 06:00-00:00,2022-07-18 14:26:00
"Carretera Cm 4124 Km. 25,7, 13260 Bolaños De Calatrava (Ciudad Real)",2.049,,1.999,,E.S.MAZ,L-D: 07:00-10:00,2022-07-18 16:16:00
"Carretera Cm. 410 Km. 95, 45860 Villacañas (Toledo)",1.959,2.069,2.019,2.089,REPSOL,L-V: 06:00-21:00,2022-07-20 04:00:00
"Carretera Cm.4114 Km. 50, 13250 Daimiel (Ciudad Real)",1.998,,1.998,2.048,VALCARCE,L-D: 06:00-22:00,2022-07-18 12:42:00
"Carretera Cm210 Km. 53, 16870 Beteta (Cuenca)",1.949,,1.989,,PETRONOR,L-D: 08:00-20:00,2022-07-20 00:00:00
"Carretera Cm4008a (Ugena-Carranque) Km. 3, 45217 Ugena (Toledo)",1.967,2.147,1.937,2.017,HENERGY,L-D: 24H,2022-07-18 11:47:00
"Carretera Cn-340 Km. 1110, 43860 L'ametlla De Mar (Tarragona)",1.929,,1.915,1.975,ALAS,L-V: 06:00-00:00; S-D: 08:00-20:00,2022-07-19 11:13:00
"Carretera Cn-340 Km. 665,00, 30006 Murcia (Murcia)",2.009,2.079,1.929,1.929,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Carretera Cn-340 Nueva Andalucia Km. 173, 29660 Marbella (Málaga)",2.034,2.174,2.024,2.114,GALP,L-D: 24H,2022-07-19 19:33:00
"Carretera Cn-340, P.k. 17,300 Esquina Carril Juana Vela Km. 17300, 11149 Conil De La Frontera (Cádiz)",1.999,,1.969,,CARREFOUR,L-D: 24H,2022-07-19 15:17:00
"Carretera Cn-550 Km. 55,300, 15701 Santiago De Compostela (Coruña (A))",1.999,,1.989,2.069,GALP,L-V: 06:00-23:00; S-D: 07:00-23:00,2022-07-20 00:30:00
"Carretera Cn-651 Km. 2,2, 15319 Betanzos (Coruña (A))",1.899,2.059,1.839,1.859,GASOLINERA BETANZOS,L-D: 07:00-23:00,2022-07-19 23:00:00
"Carretera Cn 340 Km. 148, 29680 Estepona (Málaga)",2.049,2.219,2.009,2.079,REPSOL,L-D: 24H,2022-07-19 12:00:00
"Carretera Cn 340 Km. 199,3, 29600 Marbella (Málaga)",2.049,2.219,2.009,2.079,REPSOL,L-D: 24H,2022-07-19 12:00:00
"Carretera Cn 340 Km. 199,3, 29600 Marbella (Málaga)",2.049,2.219,2.009,2.079,REPSOL,L-D: 24H,2022-07-19 12:00:00
"Carretera Cn 620 Km. 203, 49440 Cañizal (Zamora)",1.979,2.079,1.969,2.019,"CARAMANZANA MARKETING Y MEDIO AMBIENTE, S.L.",L-V: 07:00-19:00; S-D: 09:00-19:00,2022-07-19 10:06:00
"Carretera Co-110 Km. 110, 14300 Villaviciosa De Córdoba (Córdoba)",1.959,,1.939,,CAMPSA,L-S: 08:00-20:00,2022-07-18 13:15:00
"Carretera Co-234 Km. 18,8, 14720 Almodóvar Del Río (Córdoba)",1.999,,1.959,2.059,ENERQUIVIR{ SOTILLO BAJO{,L-S: 06:00-22:00,2022-07-18 00:00:00
"Carretera Co-412 Km. 12,700, 14430 Adamuz (Córdoba)",2.099,,1.999,,REPSOL,L-D: 06:00-22:00,2022-07-20 00:00:00
"Carretera Co-420 Km. 152, 14440 Villanueva De Córdoba (Córdoba)",1.949,,1.949,1.999,REPSOL,L-D: 06:00-22:00,2022-07-20 00:00:00
"Carretera Co-740 Km. 22,8, 14546 Santaella (Córdoba)",1.979,,1.939,,REPSOL,L-S: 07:00-15:00,2022-07-20 00:00:00
"Carretera Co 5+68 Km. 1,4, 14420 Villafranca De Córdoba (Córdoba)",1.949,,1.969,2.019,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Carretera Cogul Km. S/N, 25151 Aspa (Lleida)",2.01,,1.92,,COOP.ASPA,L-D: 24H,2022-07-19 00:00:00
"Carretera Cogullada Km. S/N, 50014 Zaragoza (Zaragoza)",2.05,,1.965,,COOPERATIVA SAN LAMBERTO,L-D: 24H,2022-07-18 10:22:00
"Carretera Coin-Cartama Km. 1, 29100 Coín (Málaga)",2.019,2.069,1.959,2.029,LA TROCHA,L-D: 24H,2022-07-19 15:34:00
"Carretera Colmenar Viejo Km. 10,5, 28034 Madrid (Madrid)",2.07,,2,2.1,REPSOL,L-D: 24H,2022-07-18 15:20:00
"Carretera Colorada Km., 11540 Sanlúcar De Barrameda (Cádiz)",1.98,,1.93,,S.C.A. FRUSANA,L-V: 08:00-22:00; S: 08:00-14:00,2022-07-18 15:15:00
"Carretera Comarcal-543 Km. 30,8, 15210 Noia (Coruña (A))",1.998,2.175,1.938,1.998,BARCIA,L-D: 07:00-23:00,2022-07-18 15:02:00
"Carretera Comarcal 148 Km. 20,500, 25337 Bellcaire D'urgell (Lleida)",2.029,2.169,2.029,2.059,REPSOL,L-D: 06:00-22:00,2022-07-18 00:00:00
"Carretera Comarcal 200 Km. 26,064, 16411 Fuente De Pedro Naharro (Cuenca)",1.979,,1.929,,E.S. VIRGEN DE LA SOLEDAD,L-V: 06:00-21:00; S-D: 08:00-21:00,2022-07-19 06:00:00
"Carretera Comarcal 230a Km. 6,100, 25171 Albatàrrec (Lleida)",1.979,2.089,1.979,2.009,PETRONOR,L-V: 07:00-15:00,2022-07-18 11:50:00
"Carretera Comarcal 251 Km. 26,300, 08476 Sant Celoni (Barcelona)",2.049,2.199,1.999,2.099,REPSOL,L-D: 05:00-23:00,2022-07-19 12:00:00
"Carretera Comarcal 326 Km. 9,7, 23450 Ibros (Jaén)",2.029,,2.009,2.109,E.S. VIRGEN DE LOS REMEDIOS.,L-D: 06:30-22:30,2022-07-18 08:26:00
