direccion_completa,Gasolina 95,Gasolina 98,Diésel,Diésel premium,rotulo,horario,ultimo_dato
"Arturo Soria, 29, 28027 Madrid (Madrid)",2.029,2.199,2.019,2.029,REPSOL,L-D: 24H,2022-07-19 17:05:00
"As-112 Km 5,8, 33685 Aller (Asturias)",1.969,2.079,1.959,2.009,REPSOL,L-V: 08:30-14:30 y 16:00-21:00; S-D: 08:00-16:00,2022-07-20 00:00:00
"As-228 Km 28, 33110 Teverga (Asturias)",1.989,,1.959,2.009,PETRONOR,L-D: 07:00-20:00,2022-07-20 00:00:00
"As219 Km 25800, 33873 Tineo (Asturias)",1.989,,1.959,2.009,REPSOL,L-D: 08:00-20:00,2022-07-20 00:00:00
"At  A-1 P.k. 116,0 D, 40560 Boceguillas (Segovia)",1.999,2.149,1.989,2.079,REPSOL,L-D: 07:00-23:00,2022-07-20 00:00:00
"At A-3, 281, 46340 Requena (Valencia / València)",2.049,2.199,1.989,2.089,BP,L-D: 24H,2022-07-18 20:56:00
"At A-3, 322, 46360 Buñol (Valencia / València)",2.009,2.159,2.009,2.099,REPSOL,L-D: 06:00-22:00,2022-07-20 00:00:00
"At A-3, 337, 46370 Chiva (Valencia / València)",2.009,2.159,1.989,2.079,REPSOL,L-D: 24H,2022-07-20 00:00:00
"At A-8, 131, 48500 Abanto Y Ciérvana-Abanto Zierbena (Bizkaia)",1.989,2.139,2.039,2.129,PETRONOR,L-D: 24H,2022-07-20 00:00:00
"At A-8, 131, 48500 Abanto Y Ciérvana-Abanto Zierbena (Bizkaia)",1.989,2.139,2.039,2.129,PETRONOR,L-D: 24H,2022-07-20 00:00:00
"At Ap-66, 126, 24275 Rioseco De Tapia (León)",1.999,2.139,1.989,2.079,REPSOL,L-D: 07:00-23:00,2022-07-20 00:00:00
"At Ap-66, 126, 24275 Rioseco De Tapia (León)",1.999,2.139,1.989,2.079,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Au  A-8 ,P.k. 256, 39593 Valdáliga (Cantabria)",2.019,2.139,2.019,2.109,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Au  A-8 ,P.k. 256, 39593 Valdáliga (Cantabria)",2.019,2.139,2.019,2.109,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Au A-10, 3, 39600 Camargo (Cantabria)",2.019,2.139,1.999,2.069,REPSOL,L-D: 06:00-22:00,2022-07-20 00:00:00
"Au A-10, 5, 39600 Camargo (Cantabria)",2.029,2.149,2.009,2.079,REPSOL,L-D: 07:00-23:00,2022-07-20 00:00:00
"Au A-15, 14, 31514 Valtierra (Navarra)",1.989,2.119,1.959,2.049,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Au A-15, 14, 31514 Valtierra (Navarra)",1.989,2.119,1.959,2.049,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Au A-15, 78, 31119 Noáin (Valle De Elorz)/Noain (Elortzibar) (Navarra)",2.014,,1.985,2.065,CEPSA,L-D: 24H,2022-07-20 06:00:00
"Au A-15, 78, 31119 Noáin (Valle De Elorz)/Noain (Elortzibar) (Navarra)",1.989,2.121,1.975,2.055,CEPSA,L-D: 24H,2022-07-20 06:00:00
"Au A-15, 98,5, 31892 Iza/Itza (Navarra)",2.009,2.159,1.989,2.079,REPSOL,L-D: 24H,2022-07-20 00:00:00
